Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-lossguide','depth',8,4,799.94,0.7228884,308,400,0.02,1023,10,1,1,1,4734472192,5199138816,5702201344,5704167424,5695414272,3957616640
'bosch','xgboost-lossguide','depth',9,4,912.5603,0.7272562,343,400,0.02,2047,11,1,1,1,5273370624,5796020224,6386548736,6527905792,6524579840,4342190080
'bosch','xgboost-lossguide','depth',10,4,988.1839,0.7256541,338,400,0.02,4095,12,1,1,1,5739978752,6416293888,7219609600,7239757824,7244091392,4677431296
'bosch','xgboost-lossguide','hessian',1,4,830.276,0.7228884,308,400,0.02,1023,10,1,1,1,2972704768,3436810240,3941953536,3944738816,3956678656,3946356736
'bosch','xgboost-lossguide','hessian',2,4,658.1758,0.7250595,325,400,0.02,1023,10,5,1,1,4952051712,5211226112,5591326720,5637709824,5641478144,3453550592
'bosch','xgboost-lossguide','hessian',3,4,569.4515,0.7181565,308,400,0.02,1023,10,25,1,1,4373123072,4548980736,4788858880,4816052224,4810022912,3110961152
'bosch','xgboost-lossguide','hessian',4,4,491.3242,0.7036303,282,400,0.02,1023,10,125,1,1,3970596864,4136919040,4251402240,4251779072,4256796672,2891718656
'bosch','xgboost-lossguide','sampling',1,4,914.5186,0.7234308,684,1000,0.04,63,6,1,1,1,2732929024,2827005952,2827780096,2829295616,2840297472,2824040448
'bosch','xgboost-lossguide','sampling',2,4,853.5696,0.7216269,445,1000,0.04,63,6,1,0.8,1,3761418240,3887538176,3889876992,3890745344,3889258496,2814128128
'bosch','xgboost-lossguide','sampling',3,4,779.4025,0.7219472,552,1000,0.04,63,6,1,0.6,1,3732103168,3858464768,3862970368,3864702976,3889741824,2825863168
'bosch','xgboost-lossguide','sampling',4,4,705.337,0.7132093,234,1000,0.04,63,6,1,0.4,1,3725230080,3845513216,3841810432,3859480576,3868045312,2793418752
'bosch','xgboost-depthwise','depth',1,4,1294.201,0.7134534,1999,2000,0.02,7,3,1,1,1,2576801792,2580516864,2589106176,2588860416,2591387648,2575130624
'bosch','xgboost-depthwise','depth',2,4,1010.344,0.7199073,1402,1500,0.02,15,4,1,1,1,3434532864,3440357376,3440041984,3440709632,3443097600,2611798016
'bosch','xgboost-depthwise','depth',3,4,798.6822,0.7198976,955,1000,0.02,31,5,1,1,1,3529924608,3548954624,3546550272,3550015488,3552038912,2684801024
'bosch','xgboost-depthwise','depth',4,4,921.628,0.7223834,723,1000,0.02,63,6,1,1,1,3660492800,3755941888,3757096960,3758096384,3753062400,2821402624
'bosch','xgboost-depthwise','depth',5,4,617.594,0.7191517,399,500,0.02,127,7,1,1,1,3850698752,3953229824,4097253376,4096360448,4097982464,3022843904
'bosch','xgboost-depthwise','depth',6,4,588.5165,0.7250211,328,400,0.02,255,8,1,1,1,4109328384,4297838592,4483641344,4520501248,4505280512,3251249152
'bosch','xgboost-depthwise','depth',7,4,696.2768,0.7248398,391,400,0.02,511,9,1,1,1,4390563840,4703948800,5001150464,5013311488,4998017024,3520126976
'bosch','xgboost-depthwise','depth',8,4,793.1682,0.7228884,308,400,0.02,1023,10,1,1,1,4733698048,5198372864,5701533696,5703462912,5694873600,3957616640
'bosch','xgboost-depthwise','depth',9,4,910.0917,0.7272562,343,400,0.02,2047,11,1,1,1,5272801280,5795438592,6386192384,6527541248,6524186624,4341395456
'bosch','xgboost-depthwise','depth',10,4,994.9379,0.7256541,338,400,0.02,4095,12,1,1,1,5740027904,6416363520,7219339264,7239483392,7244013568,4676362240
'bosch','xgboost-depthwise','hessian',1,4,831.4255,0.7228884,308,400,0.02,1023,10,1,1,1,2972753920,3436593152,3941752832,3944554496,3956490240,3946168320
'bosch','xgboost-depthwise','hessian',2,4,667.7712,0.7250595,325,400,0.02,1023,10,5,1,1,4952453120,5211672576,5591801856,5638189056,5641977856,3452325888
'bosch','xgboost-depthwise','hessian',3,4,571.4137,0.7181565,308,400,0.02,1023,10,25,1,1,4370264064,4546572288,4787138560,4814938112,4809113600,3112235008
'bosch','xgboost-depthwise','hessian',4,4,490.6301,0.7036303,282,400,0.02,1023,10,125,1,1,3971538944,4137799680,4252164096,4252639232,4257673216,2892161024
